City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
189,Yarmouth,US,50.65,clear sky,41.7057,-70.2286,
190,Xai-Xai,MZ,77.92,few clouds,-25.0519,33.6442,
191,Khandbari,NP,69.69,light rain,27.3747,87.2039,
192,Luangwa,ZM,76.05,light rain,-15.6167,30.4167,
195,Zaysan,KZ,41.86,scattered clouds,47.4667,84.8667,
196,Cabo San Lucas,MX,77.61,scattered clouds,22.8909,-109.9124,
198,Nanortalik,GL,38.17,light rain,60.1432,-45.2371,
199,Dawlatabad,AF,65.48,clear sky,36.4141,64.9053,
200,Khash,IR,68.13,clear sky,28.2211,61.2158,
202,Kashi,CN,63.61,broken clouds,39.4547,75.9797,
203,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,
204,Pleasant Point,NZ,48.06,broken clouds,-44.2667,171.1333,
205,Mitu,CO,77.22,overcast clouds,1.1983,-70.1733,
207,Cervo,ES,48.87,few clouds,43.6702,-7.4101,
208,Ketchikan,US,39.67,moderate rain,55.3422,-131.6461,
209,Dicabisagan,PH,76.57,light rain,17.0818,122.4157,
210,Wuan,CN,53.22,clear sky,31.6836,112.0044,
212,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,
215,Beisfjord,NO,30.25,light snow,68.3751,17.5988,
216,Vitoria Da Conquista,BR,83.17,scattered clouds,-14.8661,-40.8394,
218,Westport,US,50.86,clear sky,41.1415,-73.3579,
